descricao,de_m,para_m,well_id
Fm Serra Geral,0.0,101.5806274,priv_2
Fm Botucatu,101.5806274,191.7936096,priv_2
Fm Guará Sup,191.7936096,205.4155884,priv_2
Fm Guará Inf,205.4155884,220.0,priv_2
Fm Serra Geral,0.0,63.49609375,priv_5
Fm Botucatu,63.49609375,156.1455383,priv_5
Fm Guará Inf,156.1455383,164.2996826,priv_5
Fm Piramboia Sup,164.2996826,200.0,priv_5
Fm Serra Geral,0.0,21.81768799,priv_6
Fm Botucatu,21.81768799,106.404541,priv_6
Fm Guará Sup,106.404541,136.0914307,priv_6
Fm Guará Inf,136.0914307,175.3620605,priv_6
Fm Piramboia Sup,175.3620605,180.0,priv_6
Fm Serra Geral,0.0,119.7899475,priv_7
Fm Botucatu,119.7899475,152.0,priv_7
Fm Serra Geral,0.0,132.5187683,priv_8
Fm Botucatu,132.5187683,200.0,priv_8
Fm Serra Geral,0.0,68.60571289,priv_11
Fm Botucatu,68.60571289,120.0,priv_11
Fm Botucatu,0.0,54.0,priv_12
Fm Serra Geral,0.0,24.79650879,priv_13
Fm Botucatu,24.79650879,111.6645813,priv_13
Fm Guará Sup,111.6645813,115.15625,priv_13
Fm Guará Inf,115.15625,120.0,priv_13
Fm Serra Geral,0.0,93.22033691,priv_14
Fm Botucatu,93.22033691,185.3671265,priv_14
Fm Guará Sup,185.3671265,213.829895,priv_14
Fm Guará Inf,213.829895,240.4687805,priv_14
Fm Piramboia Sup,240.4687805,270.0,priv_14
Fm Botucatu,0.0,101.7394714,priv_15
Fm Guará Sup,101.7394714,121.9714661,priv_15
Fm Guará Inf,121.9714661,150.0,priv_15
Fm Serra Geral,0.0,156.0,priv_16
Fm Serra Geral,0.0,3.217973709,priv_17
Fm Botucatu,3.217973709,80.0,priv_17
Fm Serra Geral,0.0,41.0,priv_19
Fm Serra Geral,0.0,162.0314331,priv_20
Fm Botucatu,162.0314331,250.9657593,priv_20
Fm Guará Sup,250.9657593,275.062439,priv_20
Fm Guará Inf,275.062439,299.7326355,priv_20
Fm Piramboia Sup,299.7326355,300.0,priv_20
Fm Serra Geral,0.0,61.86080933,priv_21
Fm Botucatu,61.86080933,100.0,priv_21
Fm Serra Geral,0.0,180.0,priv_22
Fm Serra Geral,0.0,39.77307129,priv_24
Fm Botucatu,39.77307129,120.2966309,priv_24
Fm Guará Inf,120.2966309,135.0,priv_24
Fm Botucatu,0.0,97.81820679,priv_25
Fm Guará Sup,97.81820679,118.7225952,priv_25
Fm Guará Inf,118.7225952,120.0,priv_25
Fm Serra Geral,0.0,161.6753235,priv_26
Fm Botucatu,161.6753235,251.02,priv_26
Fm Serra Geral,0.0,168.6048279,priv_28
Fm Botucatu,168.6048279,200.0,priv_28
Fm Botucatu,0.0,42.0,priv_29
Fm Serra Geral,0.0,45.0,priv_30
Fm Serra Geral,0.0,110.0609131,priv_31
Fm Botucatu,110.0609131,232.0150757,priv_31
Fm Guará Sup,232.0150757,250.0,priv_31
Fm Serra Geral,0.0,125.1026001,priv_32
Fm Botucatu,125.1026001,195.0,priv_32
Fm Serra Geral,0.0,131.3912354,priv_33
Fm Botucatu,131.3912354,200.0,priv_33
Fm Serra Geral,0.0,200.0,priv_34
Fm Botucatu,0.0,71.12005615,priv_35
Fm Guará Inf,71.12005615,91.01303101,priv_35
Fm Piramboia Sup,91.01303101,114.4,priv_35
Fm Serra Geral,0.0,191.5461426,priv_36
Fm Botucatu,191.5461426,200.0,priv_36
Fm Serra Geral,0.0,58.47244263,priv_37
Fm Botucatu,58.47244263,144.5653687,priv_37
Fm Guará Inf,144.5653687,156.7796936,priv_37
Fm Piramboia Sup,156.7796936,207.2293091,priv_37
Fm Piramboia Inf,207.2293091,247.4685364,priv_37
Diabásio,247.4685364,250.0,priv_37
Fm Serra Geral,0.0,161.4391785,priv_38
Fm Botucatu,161.4391785,200.0,priv_38
Fm Serra Geral,0.0,94.13574219,priv_40
Fm Botucatu,94.13574219,192.0,priv_40
Fm Serra Geral,0.0,135.7517395,priv_41
Fm Botucatu,135.7517395,150.0,priv_41
Fm Serra Geral,0.0,24.77276611,priv_45
Fm Botucatu,24.77276611,100.0,priv_45
Fm Serra Geral,0.0,83.74725342,priv_47
Fm Botucatu,83.74725342,175.0,priv_47
Fm Serra Geral,0.0,105.2518005,priv_48
Fm Botucatu,105.2518005,197.2566833,priv_48
Fm Guará Sup,197.2566833,224.0381165,priv_48
Fm Guará Inf,224.0381165,250.3859863,priv_48
Fm Piramboia Sup,250.3859863,301.9761658,priv_48
Fm Piramboia Inf,301.9761658,315.1046143,priv_48
Diabásio,315.1046143,316.7655029,priv_48
Fm Piramboia Inf,316.7655029,350.0,priv_48
Fm Serra Geral,0.0,40.77307129,priv_49
Fm Botucatu,40.77307129,121.2966309,priv_49
Fm Guará Inf,121.2966309,152.2168579,priv_49
Fm Piramboia Sup,152.2168579,200.0,priv_49
Fm Serra Geral,0.0,32.89974976,priv_50
Fm Botucatu,32.89974976,116.4126282,priv_50
Fm Guará Inf,116.4126282,120.24823,priv_50
Fm Piramboia Sup,120.24823,150.0,priv_50
Fm Botucatu,0.0,63.42141724,priv_51
Fm Guará Inf,63.42141724,87.52484131,priv_51
Fm Piramboia Sup,87.52484131,146.9268188,priv_51
Fm Piramboia Inf,146.9268188,170.0,priv_51
Fm Serra Geral,0.0,54.80462646,priv_52
Fm Botucatu,54.80462646,120.0,priv_52
Fm Serra Geral,0.0,61.67706299,priv_53
Fm Botucatu,61.67706299,117.084137,priv_53
Fm Guará Sup,117.084137,139.314209,priv_53
Fm Guará Inf,139.314209,174.0888367,priv_53
Fm Piramboia Sup,174.0888367,224.396759,priv_53
Fm Piramboia Inf,224.396759,230.0,priv_53
Fm Serra Geral,0.0,9.37677002,priv_54
Fm Botucatu,9.37677002,106.7570496,priv_54
Fm Guará Inf,106.7570496,125.0,priv_54
Fm Serra Geral,0.0,16.37677002,priv_55
Fm Botucatu,16.37677002,113.7570496,priv_55
Fm Guará Inf,113.7570496,120.0,priv_55
Fm Botucatu,0.0,103.3540955,priv_56
Fm Guará Sup,103.3540955,120.0,priv_56
Fm Botucatu,0.0,75.0,priv_57
Fm Serra Geral,0.0,1.0,priv_58
Fm Serra Geral,0.0,63.52984619,priv_59
Fm Botucatu,63.52984619,162.0,priv_59
Fm Serra Geral,0.0,120.4882202,priv_60
Fm Botucatu,120.4882202,160.0,priv_60
Fm Botucatu,0.0,97.00869751,priv_61
Fm Guará Sup,97.00869751,109.9181824,priv_61
Fm Guará Inf,109.9181824,148.146698,priv_61
Fm Piramboia Sup,148.146698,216.3294067,priv_61
Fm Piramboia Inf,216.3294067,250.0,priv_61
Fm Botucatu,0.0,91.0,priv_62
Fm Serra Geral,0.0,43.00366211,priv_63
Fm Botucatu,43.00366211,87.19000244,priv_63
Fm Guará Sup,87.19000244,106.7806702,priv_63
Fm Guará Inf,106.7806702,137.0065613,priv_63
Fm Piramboia Sup,137.0065613,150.0,priv_63
Fm Botucatu,0.0,74.47399902,priv_64
Fm Guará Sup,74.47399902,95.22091675,priv_64
Fm Guará Inf,95.22091675,134.0911255,priv_64
Fm Piramboia Sup,134.0911255,200.0,priv_64
Fm Botucatu,0.0,76.9647522,priv_65
Fm Guará Sup,76.9647522,98.16485596,priv_65
Fm Guará Inf,98.16485596,136.491394,priv_65
Fm Piramboia Sup,136.491394,200.0,priv_65
Fm Botucatu,0.0,104.7382507,priv_66
