well_id,descricao,de_m,para_m
PW_115,Fm Serra Geral,0.0,33.3746337890625
PW_115,Fm Botucatu,33.3746337890625,147.084075927734
PW_115,Fm Guará Sup,147.084075927734,177.223815917969
PW_115,Fm Guará Inf,177.223815917969,221.011810302734
PW_115,Fm Piramboia Sup,221.011810302734,245.0
PW_073,Fm Serra Geral,0.0,109.284729003906
PW_073,Fm Botucatu,109.284729003906,232.465118408203
PW_073,Fm Guará Sup,232.465118408203,262.224456787109
PW_073,Fm Guará Inf,262.224456787109,290.162872314453
PW_073,Fm Piramboia Sup,290.162872314453,294.457763671875
PW_073,Diabásio,294.457763671875,301.54833984375
PW_073,Fm Piramboia Sup,301.54833984375,344.39
PW_111,Fm Serra Geral,0.0,109.431762695312
PW_111,Fm Botucatu,109.431762695312,228.866638183594
PW_111,Fm Guará Sup,228.866638183594,261.399810791016
PW_111,Fm Guará Inf,261.399810791016,276.16
